file_nm,element_id,amount,unit_ref,decimals,contextref
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,131.38,,2,Prior4YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,194.34,,2,Prior3YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,197.54,,2,Prior2YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,99.75,,2,Prior1YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,91.41,,2,CurrentYearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:dilutedearningspersharesummaryofbusinessresults,193.89,,2,Prior3YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:dilutedearningspersharesummaryofbusinessresults,196.44,,2,Prior2YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:dilutedearningspersharesummaryofbusinessresults,98.86,,2,Prior1YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:dilutedearningspersharesummaryofbusinessresults,90.26,,2,CurrentYearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.6548,,4,Prior4YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.6718,,4,Prior3YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.7048,,4,Prior2YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.7421,,4,Prior1YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.7532,,4,CurrentYearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.1607,,4,Prior4YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.1560,,4,Prior3YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.1265,,4,Prior2YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.0630,,4,Prior1YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.0561,,4,CurrentYearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,4.83,,2,Prior4YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,6.26,,2,Prior3YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,13.64,,2,Prior2YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,15.55,,2,Prior1YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,16.74,,2,CurrentYearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,6032379000,,-3,Prior4YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,2614320000,,-3,Prior3YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,8423774000,,-3,Prior2YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,89779000,,-3,Prior1YearDuration
